"Time","Events","Pmask","Flow","Vte","Vti","Vte/kg","Vti/kg","Leak","Resp Rate","Flow (raw)","Rib Bnd","Abd Bnd","Test","SpO2","Pulse Rate","Perfusion Index","SpCO","SpMET","SpHb","SpOC","Desaturation Index","PI Delta","PVI","RR","Optical Alarm Status","Acoustic Alarm Status","Exception Message","Exception 1 Message","Acoustic Exception Message","Error","Oxygen","CO2"
0:00:00.500,,1.0603,4.8556,0,0,0,0,-1,0,4894.5242,0,0,28046,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,31.6,0
0:00:01.000,,1.0603,4.8707,0,0,0,0,-1,0,4879.8258,0,0,28145,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,31.6,0
0:00:01.500,,1.0603,4.8546,0,0,0,0,-1,0,4821.0313,0,0,28245,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:02.000,,1.0014,4.8545,0,0,0,0,-1,0,4791.6344,0,0,28345,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:02.500,,1.0603,4.8339,0,0,0,0,-1,0,4688.7441,0,0,28445,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:03.000,,1.0603,4.8332,0,0,0,0,-1,0,4850.4285,0,0,28546,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:03.500,,1.0603,4.8426,0,0,0,0,-1,0,4850.4285,0,0,28646,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:04.000,,1.0014,4.8537,0,0,0,0,-1,0,4835.7301,0,0,28746,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:04.500,,1.0603,4.8534,0,0,0,0,-1,0,4865.1273,0,0,28846,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:05.000,,1.0603,4.834,0,0,0,0,-1,0,4821.0313,0,0,28947,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
