"Time","Events","Pmask","Flow","Vte","Vti","Vte/kg","Vti/kg","Leak","Resp Rate","Flow (raw)","Rib Bnd","Abd Bnd","Test","SpO2","Pulse Rate","Perfusion Index","SpCO","SpMET","SpHb","SpOC","Desaturation Index","PI Delta","PVI","RR","Optical Alarm Status","Acoustic Alarm Status","Exception Message","Exception 1 Message","Acoustic Exception Message","Error","Oxygen","Flow"
0:00:00.500,,0.8836,5.1311,0,0,0,0,-1,0,5188.1203,0,0,951,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:01.000,,0.8836,5.1622,0,0,0,0,-1,0,5169.0133,0,0,1051,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:01.500,,0.8836,5.1633,0,0,0,0,-1,0,5169.0133,0,0,1151,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:02.000,,0.8247,5.1284,0,0,0,0,-1,0,5149.9066,0,0,1251,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:02.500,,0.8836,5.1425,0,0,0,0,-1,0,5113.3379,0,0,1351,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:03.000,,0.8836,5.1592,0,0,0,0,-1,0,5130.8,0,0,1451,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:03.500,,0.8247,5.1702,0,0,0,0,-1,0,5264.5469,0,0,1551,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:04.000,,0.8836,5.1487,0,0,0,0,-1,0,5130.8,0,0,1651,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:04.500,,0.8836,5.1342,0,0,0,0,-1,0,5149.9066,0,0,1751,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
0:00:05.000,,0.8836,5.1428,0,0,0,0,-1,0,5169.0133,0,0,1851,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,0,30.5,0
