"Time","Events","Pmask","Flow","Vte","Vti","Vte/kg","Vti/kg","Leak","Resp Rate","Flow (raw)","Rib Bnd","Abd Bnd","Test","SpO2","Pulse Rate","Perfusion Index","SpCO","SpMET","SpHb","SpOC","Desaturation Index","PI Delta","PVI","RR","Optical Alarm Status","Acoustic Alarm Status","Exception Message","Exception 1 Message","Acoustic Exception Message","Error","Oxygen","Flow","Flow"
0:00:00.500,,0.8836,4.7637,0,0,0,0,-1,0.911,4623.5789,0,0,36701,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,1,0,0,4623.5789
0:00:01.000,,0.8836,4.7466,0,0,0,0,-1,0.911,4551.0105,0,0,36801,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,1,0,0,4551.0105
0:00:01.500,,0.8836,4.7265,0,0,0,0,-1,0.911,4768.7156,0,0,36900,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,1,0,0,4768.7156
0:00:02.000,,0.8247,4.7532,0,0,0,0,-1,0.911,4678.0055,0,0,37000,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,1,0,0,4678.0055
0:00:02.500,,0.8836,4.7717,0,0,0,0,-1,0.911,4823.1422,0,0,37101,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,1,0,0,4823.1422
0:00:03.000,,0.8836,4.7347,0,0,0,0,-1,0.911,4696.1473,0,0,37203,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,1,0,0,4696.1473
0:00:03.500,,0.8836,4.7659,0,0,0,0,-1,0.911,4768.7156,0,0,37303,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,1,0,0,4768.7156
0:00:04.000,,0.8836,4.7793,0,0,0,0,-1,0.911,4768.7156,0,0,37559,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,1,0,0,4768.7156
0:00:04.500,,0.8836,4.7512,0,0,0,0,-1,0.911,4750.5738,0,0,37659,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,1,0,0,4750.5738
0:00:05.000,,0.8836,4.7508,0,0,0,0,-1,0.911,4805,0,0,37759,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,1,0,0,1,0,0,4805
